Instance,n,Trials,GPP_mean,GPP_std,GPP_best,GPP_worst,GPP_timeMS_mean,GPP_timeMS_std,GPP_timeMS_best,GPP_timeMS_worst
G500.05,500,1,277,0,277,277,164408,0,164408,164408
G500.10,500,1,702,0,702,702,283614,0,283614,283614
G500.2.5,500,1,88,0,88,88,98664,0,98664,98664
G500.20,500,1,1830,0,1830,1830,578962,0,578962,578962
U500.05,500,1,65,0,65,65,168882,0,168882,168882
U500.10,500,1,105,0,105,105,283486,0,283486,283486
U500.20,500,1,452,0,452,452,517885,0,517885,517885
U500.40,500,1,511,0,511,511,961963,0,961963,961963
pcart.352,352,1,19,0,19,19,62500,0,62500,62500
pcgrid100.20,100,1,28,0,28,28,34070,0,34070,34070
pcgrid500.42,500,1,130,0,130,130,136054,0,136054,136054
pgrid100.10,100,1,20,0,20,20,31771,0,31771,31771
pgrid500.21,500,1,110,0,110,110,131453,0,131453,131453
prcart.134,134,1,16,0,16,16,28939,0,28939,28939
prcart.554,554,1,28,0,28,28,92349,0,92349,92349
,,,QAP_mean,QAP_std,QAP_best,QAP_worst,QAP_timeMS_mean,QAP_timeMS_std,QAP_timeMS_best,QAP_timeMS_worst
,,,544,0,544,544,295712,0,295712,295712
,,,1424,0,1424,1424,532643,0,532643,532643
,,,174,0,174,174,165058,0,165058,165058
,,,3678,0,3678,3678,1120046,0,1120046,1120046
,,,154,0,154,154,304487,0,304487,304487
,,,238,0,238,238,532642,0,532642,532642
,,,424,0,424,424,998904,0,998904,998904
,,,834,0,834,834,1870776,0,1870776,1870776
,,,18,0,18,18,99583,0,99583,99583
,,,80,0,80,80,55113,0,55113,55113
,,,212,0,212,212,241066,0,241066,241066
,,,30,0,30,30,50732,0,50732,50732
,,,208,0,208,208,230556,0,230556,230556
,,,6,0,6,6,42736,0,42736,42736
,,,102,0,102,102,150336,0,150336,150336
