instance_id,run_index,LP_opt,best_feasible_CB,our_LP,our_best_solution,percent_diff_solution,percent_diff_LP
5.100-00,0,24585.9,24381,76842,0,100,-212.545
5.100-00,1,24585.9,24381,76842,0,100,-212.545
5.100-00,2,24585.9,24381,76842,0,100,-212.545
5.100-00,3,24585.9,24381,76842,0,100,-212.545
5.100-00,4,24585.9,24381,76842,0,100,-212.545
5.100-00,5,24585.9,24381,76842,0,100,-212.545
5.100-00,6,24585.9,24381,76842,0,100,-212.545
5.100-00,7,24585.9,24381,76842,0,100,-212.545
5.100-00,8,24585.9,24381,76842,0,100,-212.545
5.100-00,9,24585.9,24381,76842,0,100,-212.545
5.100-00,10,24585.9,24381,76842,0,100,-212.545
5.100-00,11,24585.9,24381,76842,0,100,-212.545
5.100-00,12,24585.9,24381,76842,0,100,-212.545
5.100-00,13,24585.9,24381,76842,0,100,-212.545
5.100-00,14,24585.9,24381,76842,0,100,-212.545
5.100-00,15,24585.9,24381,76842,0,100,-212.545
5.100-00,16,24585.9,24381,76842,0,100,-212.545
5.100-00,17,24585.9,24381,76842,0,100,-212.545
5.100-00,18,24585.9,24381,76842,0,100,-212.545
5.100-00,19,24585.9,24381,76842,0,100,-212.545
5.100-00,20,24585.9,24381,76842,0,100,-212.545
5.100-00,21,24585.9,24381,76842,0,100,-212.545
5.100-00,22,24585.9,24381,76842,0,100,-212.545
5.100-00,23,24585.9,24381,76842,0,100,-212.545
5.100-00,24,24585.9,24381,76842,0,100,-212.545
5.100-00,25,24585.9,24381,76842,0,100,-212.545
5.100-00,26,24585.9,24381,76842,0,100,-212.545
5.100-00,27,24585.9,24381,76842,0,100,-212.545
5.100-00,28,24585.9,24381,76842,0,100,-212.545
5.100-00,29,24585.9,24381,76842,0,100,-212.545
5.100-01,0,24538.2,24274,75967,0,100,-209.587
5.100-01,1,24538.2,24274,75967,0,100,-209.587
5.100-01,2,24538.2,24274,75967,0,100,-209.587
5.100-01,3,24538.2,24274,75967,0,100,-209.587
5.100-01,4,24538.2,24274,75967,0,100,-209.587
5.100-01,5,24538.2,24274,75967,0,100,-209.587
5.100-01,6,24538.2,24274,75967,0,100,-209.587
5.100-01,7,24538.2,24274,75967,0,100,-209.587
5.100-01,8,24538.2,24274,75967,0,100,-209.587
5.100-01,9,24538.2,24274,75967,0,100,-209.587
5.100-01,10,24538.2,24274,75967,0,100,-209.587
5.100-01,11,24538.2,24274,75967,0,100,-209.587
5.100-01,12,24538.2,24274,75967,0,100,-209.587
5.100-01,13,24538.2,24274,75967,0,100,-209.587
5.100-01,14,24538.2,24274,75967,0,100,-209.587
5.100-01,15,24538.2,24274,75967,0,100,-209.587
5.100-01,16,24538.2,24274,75967,0,100,-209.587
5.100-01,17,24538.2,24274,75967,0,100,-209.587
5.100-01,18,24538.2,24274,75967,0,100,-209.587
5.100-01,19,24538.2,24274,75967,0,100,-209.587
5.100-01,20,24538.2,24274,75967,0,100,-209.587
5.100-01,21,24538.2,24274,75967,0,100,-209.587
5.100-01,22,24538.2,24274,75967,0,100,-209.587
5.100-01,23,24538.2,24274,75967,0,100,-209.587
5.100-01,24,24538.2,24274,75967,0,100,-209.587
5.100-01,25,24538.2,24274,75967,0,100,-209.587
5.100-01,26,24538.2,24274,75967,0,100,-209.587
5.100-01,27,24538.2,24274,75967,0,100,-209.587
5.100-01,28,24538.2,24274,75967,0,100,-209.587
5.100-01,29,24538.2,24274,75967,0,100,-209.587
5.100-02,0,23895.8,23551,72307,0,100,-202.593
5.100-02,1,23895.8,23551,72307,0,100,-202.593
5.100-02,2,23895.8,23551,72307,0,100,-202.593
5.100-02,3,23895.8,23551,72307,0,100,-202.593
5.100-02,4,23895.8,23551,72307,0,100,-202.593
5.100-02,5,23895.8,23551,72307,0,100,-202.593
5.100-02,6,23895.8,23551,72307,0,100,-202.593
5.100-02,7,23895.8,23551,72307,0,100,-202.593
5.100-02,8,23895.8,23551,72307,0,100,-202.593
5.100-02,9,23895.8,23551,72307,0,100,-202.593
5.100-02,10,23895.8,23551,72307,0,100,-202.593
5.100-02,11,23895.8,23551,72307,0,100,-202.593
5.100-02,12,23895.8,23551,72307,0,100,-202.593
5.100-02,13,23895.8,23551,72307,0,100,-202.593
5.100-02,14,23895.8,23551,72307,0,100,-202.593
5.100-02,15,23895.8,23551,72307,0,100,-202.593
5.100-02,16,23895.8,23551,72307,0,100,-202.593
5.100-02,17,23895.8,23551,72307,0,100,-202.593
5.100-02,18,23895.8,23551,72307,0,100,-202.593
5.100-02,19,23895.8,23551,72307,0,100,-202.593
5.100-02,20,23895.8,23551,72307,0,100,-202.593
5.100-02,21,23895.8,23551,72307,0,100,-202.593
5.100-02,22,23895.8,23551,72307,0,100,-202.593
5.100-02,23,23895.8,23551,72307,0,100,-202.593
5.100-02,24,23895.8,23551,72307,0,100,-202.593
5.100-02,25,23895.8,23551,72307,0,100,-202.593
5.100-02,26,23895.8,23551,72307,0,100,-202.593
5.100-02,27,23895.8,23551,72307,0,100,-202.593
5.100-02,28,23895.8,23551,72307,0,100,-202.593
5.100-02,29,23895.8,23551,72307,0,100,-202.593
5.100-03,0,23724.1,23534,76172,0,100,-221.074
5.100-03,1,23724.1,23534,76172,0,100,-221.074
5.100-03,2,23724.1,23534,76172,0,100,-221.074
5.100-03,3,23724.1,23534,76172,0,100,-221.074
5.100-03,4,23724.1,23534,76172,0,100,-221.074
5.100-03,5,23724.1,23534,76172,0,100,-221.074
5.100-03,6,23724.1,23534,76172,0,100,-221.074
5.100-03,7,23724.1,23534,76172,0,100,-221.074
5.100-03,8,23724.1,23534,76172,0,100,-221.074
5.100-03,9,23724.1,23534,76172,0,100,-221.074
5.100-03,10,23724.1,23534,76172,0,100,-221.074
5.100-03,11,23724.1,23534,76172,0,100,-221.074
5.100-03,12,23724.1,23534,76172,0,100,-221.074
5.100-03,13,23724.1,23534,76172,0,100,-221.074
5.100-03,14,23724.1,23534,76172,0,100,-221.074
5.100-03,15,23724.1,23534,76172,0,100,-221.074
5.100-03,16,23724.1,23534,76172,0,100,-221.074
5.100-03,17,23724.1,23534,76172,0,100,-221.074
5.100-03,18,23724.1,23534,76172,0,100,-221.074
5.100-03,19,23724.1,23534,76172,0,100,-221.074
5.100-03,20,23724.1,23534,76172,0,100,-221.074
5.100-03,21,23724.1,23534,76172,0,100,-221.074
5.100-03,22,23724.1,23534,76172,0,100,-221.074
5.100-03,23,23724.1,23534,76172,0,100,-221.074
5.100-03,24,23724.1,23534,76172,0,100,-221.074
5.100-03,25,23724.1,23534,76172,0,100,-221.074
5.100-03,26,23724.1,23534,76172,0,100,-221.074
5.100-03,27,23724.1,23534,76172,0,100,-221.074
5.100-03,28,23724.1,23534,76172,0,100,-221.074
5.100-03,29,23724.1,23534,76172,0,100,-221.074
5.100-04,0,24223,23991,75192,0,100,-210.415
5.100-04,1,24223,23991,75192,0,100,-210.415
5.100-04,2,24223,23991,75192,0,100,-210.415
5.100-04,3,24223,23991,75192,0,100,-210.415
5.100-04,4,24223,23991,75192,0,100,-210.415
5.100-04,5,24223,23991,75192,0,100,-210.415
5.100-04,6,24223,23991,75192,0,100,-210.415
5.100-04,7,24223,23991,75192,0,100,-210.415
5.100-04,8,24223,23991,75192,0,100,-210.415
5.100-04,9,24223,23991,75192,0,100,-210.415
5.100-04,10,24223,23991,75192,0,100,-210.415
5.100-04,11,24223,23991,75192,0,100,-210.415
5.100-04,12,24223,23991,75192,0,100,-210.415
5.100-04,13,24223,23991,75192,0,100,-210.415
5.100-04,14,24223,23991,75192,0,100,-210.415
5.100-04,15,24223,23991,75192,0,100,-210.415
5.100-04,16,24223,23991,75192,0,100,-210.415
5.100-04,17,24223,23991,75192,0,100,-210.415
5.100-04,18,24223,23991,75192,0,100,-210.415
5.100-04,19,24223,23991,75192,0,100,-210.415
5.100-04,20,24223,23991,75192,0,100,-210.415
5.100-04,21,24223,23991,75192,0,100,-210.415
5.100-04,22,24223,23991,75192,0,100,-210.415
5.100-04,23,24223,23991,75192,0,100,-210.415
5.100-04,24,24223,23991,75192,0,100,-210.415
5.100-04,25,24223,23991,75192,0,100,-210.415
5.100-04,26,24223,23991,75192,0,100,-210.415
5.100-04,27,24223,23991,75192,0,100,-210.415
5.100-04,28,24223,23991,75192,0,100,-210.415
5.100-04,29,24223,23991,75192,0,100,-210.415
5.100-05,0,24884.2,24613,77260,0,100,-210.478
5.100-05,1,24884.2,24613,77260,0,100,-210.478
5.100-05,2,24884.2,24613,77260,0,100,-210.478
5.100-05,3,24884.2,24613,77260,0,100,-210.478
5.100-05,4,24884.2,24613,77260,0,100,-210.478
5.100-05,5,24884.2,24613,77260,0,100,-210.478
5.100-05,6,24884.2,24613,77260,0,100,-210.478
5.100-05,7,24884.2,24613,77260,0,100,-210.478
5.100-05,8,24884.2,24613,77260,0,100,-210.478
5.100-05,9,24884.2,24613,77260,0,100,-210.478
5.100-05,10,24884.2,24613,77260,0,100,-210.478
5.100-05,11,24884.2,24613,77260,0,100,-210.478
5.100-05,12,24884.2,24613,77260,0,100,-210.478
5.100-05,13,24884.2,24613,77260,0,100,-210.478
5.100-05,14,24884.2,24613,77260,0,100,-210.478
5.100-05,15,24884.2,24613,77260,0,100,-210.478
5.100-05,16,24884.2,24613,77260,0,100,-210.478
5.100-05,17,24884.2,24613,77260,0,100,-210.478
5.100-05,18,24884.2,24613,77260,0,100,-210.478
5.100-05,19,24884.2,24613,77260,0,100,-210.478
5.100-05,20,24884.2,24613,77260,0,100,-210.478
5.100-05,21,24884.2,24613,77260,0,100,-210.478
5.100-05,22,24884.2,24613,77260,0,100,-210.478
5.100-05,23,24884.2,24613,77260,0,100,-210.478
5.100-05,24,24884.2,24613,77260,0,100,-210.478
5.100-05,25,24884.2,24613,77260,0,100,-210.478
5.100-05,26,24884.2,24613,77260,0,100,-210.478
5.100-05,27,24884.2,24613,77260,0,100,-210.478
5.100-05,28,24884.2,24613,77260,0,100,-210.478
5.100-05,29,24884.2,24613,77260,0,100,-210.478
5.100-06,0,25793.4,25591,78738,0,100,-205.264
5.100-06,1,25793.4,25591,78738,0,100,-205.264
5.100-06,2,25793.4,25591,78738,0,100,-205.264
5.100-06,3,25793.4,25591,78738,0,100,-205.264
5.100-06,4,25793.4,25591,78738,0,100,-205.264
5.100-06,5,25793.4,25591,78738,0,100,-205.264
5.100-06,6,25793.4,25591,78738,0,100,-205.264
5.100-06,7,25793.4,25591,78738,0,100,-205.264
5.100-06,8,25793.4,25591,78738,0,100,-205.264
5.100-06,9,25793.4,25591,78738,0,100,-205.264
5.100-06,10,25793.4,25591,78738,0,100,-205.264
5.100-06,11,25793.4,25591,78738,0,100,-205.264
5.100-06,12,25793.4,25591,78738,0,100,-205.264
5.100-06,13,25793.4,25591,78738,0,100,-205.264
5.100-06,14,25793.4,25591,78738,0,100,-205.264
5.100-06,15,25793.4,25591,78738,0,100,-205.264
5.100-06,16,25793.4,25591,78738,0,100,-205.264
5.100-06,17,25793.4,25591,78738,0,100,-205.264
5.100-06,18,25793.4,25591,78738,0,100,-205.264
5.100-06,19,25793.4,25591,78738,0,100,-205.264
5.100-06,20,25793.4,25591,78738,0,100,-205.264
5.100-06,21,25793.4,25591,78738,0,100,-205.264
5.100-06,22,25793.4,25591,78738,0,100,-205.264
5.100-06,23,25793.4,25591,78738,0,100,-205.264
5.100-06,24,25793.4,25591,78738,0,100,-205.264
5.100-06,25,25793.4,25591,78738,0,100,-205.264
5.100-06,26,25793.4,25591,78738,0,100,-205.264
5.100-06,27,25793.4,25591,78738,0,100,-205.264
5.100-06,28,25793.4,25591,78738,0,100,-205.264
5.100-06,29,25793.4,25591,78738,0,100,-205.264
5.100-07,0,23657.9,23410,74871,0,100,-216.474
5.100-07,1,23657.9,23410,74871,0,100,-216.474
5.100-07,2,23657.9,23410,74871,0,100,-216.474
5.100-07,3,23657.9,23410,74871,0,100,-216.474
5.100-07,4,23657.9,23410,74871,0,100,-216.474
5.100-07,5,23657.9,23410,74871,0,100,-216.474
5.100-07,6,23657.9,23410,74871,0,100,-216.474
5.100-07,7,23657.9,23410,74871,0,100,-216.474
5.100-07,8,23657.9,23410,74871,0,100,-216.474
5.100-07,9,23657.9,23410,74871,0,100,-216.474
5.100-07,10,23657.9,23410,74871,0,100,-216.474
5.100-07,11,23657.9,23410,74871,0,100,-216.474
5.100-07,12,23657.9,23410,74871,0,100,-216.474
5.100-07,13,23657.9,23410,74871,0,100,-216.474
5.100-07,14,23657.9,23410,74871,0,100,-216.474
5.100-07,15,23657.9,23410,74871,0,100,-216.474
5.100-07,16,23657.9,23410,74871,0,100,-216.474
5.100-07,17,23657.9,23410,74871,0,100,-216.474
5.100-07,18,23657.9,23410,74871,0,100,-216.474
5.100-07,19,23657.9,23410,74871,0,100,-216.474
5.100-07,20,23657.9,23410,74871,0,100,-216.474
5.100-07,21,23657.9,23410,74871,0,100,-216.474
5.100-07,22,23657.9,23410,74871,0,100,-216.474
5.100-07,23,23657.9,23410,74871,0,100,-216.474
5.100-07,24,23657.9,23410,74871,0,100,-216.474
5.100-07,25,23657.9,23410,74871,0,100,-216.474
5.100-07,26,23657.9,23410,74871,0,100,-216.474
5.100-07,27,23657.9,23410,74871,0,100,-216.474
