instance_id,run_index,LP_opt,best_feasible_CB,our_LP,our_best_solution,percent_diff_solution,percent_diff_LP
5.100-00,0,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,1,24585.9,24381,8651,4337,82.3598,64.8132
5.100-00,2,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,3,24585.9,24381,8651,3803,84.5318,64.8132
5.100-00,4,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,5,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,6,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,7,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,8,24585.9,24381,8651,4545,81.5138,64.8132
5.100-00,9,24585.9,24381,8651,4545,81.5138,64.8132
5.100-01,0,24538.2,24274,7684,2960,87.9372,68.6856
5.100-01,1,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,2,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,3,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,4,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,5,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,6,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,7,24538.2,24274,7684,2960,87.9372,68.6856
5.100-01,8,24538.2,24274,7684,3572,85.4431,68.6856
5.100-01,9,24538.2,24274,7684,3572,85.4431,68.6856
5.100-02,0,23895.8,23551,8424,3979,83.3486,64.747
5.100-02,1,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,2,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,3,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,4,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,5,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,6,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,7,23895.8,23551,8424,3979,83.3486,64.747
5.100-02,8,23895.8,23551,8424,4359,81.7583,64.747
5.100-02,9,23895.8,23551,8424,4359,81.7583,64.747
5.100-03,0,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,1,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,2,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,3,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,4,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,5,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,6,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,7,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,8,23724.1,23534,5501,2937,87.6202,76.8126
5.100-03,9,23724.1,23534,5501,2937,87.6202,76.8126
5.100-04,0,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,1,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,2,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,3,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,4,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,5,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,6,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,7,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,8,24223,23991,33006,19032,21.4301,-36.2588
5.100-04,9,24223,23991,33006,19032,21.4301,-36.2588
5.100-05,0,24884.2,24613,28788,16856,32.2623,-15.6877
5.100-05,1,24884.2,24613,28788,17172,30.9925,-15.6877
5.100-05,2,24884.2,24613,28788,16856,32.2623,-15.6877
5.100-05,3,24884.2,24613,28788,17172,30.9925,-15.6877
5.100-05,4,24884.2,24613,28788,16856,32.2623,-15.6877
5.100-05,5,24884.2,24613,28788,16856,32.2623,-15.6877
5.100-05,6,24884.2,24613,28788,17172,30.9925,-15.6877
5.100-05,7,24884.2,24613,28788,16856,32.2623,-15.6877
5.100-05,8,24884.2,24613,28788,17172,30.9925,-15.6877
5.100-05,9,24884.2,24613,28788,16856,32.2623,-15.6877
5.100-06,0,25793.4,25591,28552,16610,35.6037,-10.695
5.100-06,1,25793.4,25591,28552,16610,35.6037,-10.695
5.100-06,2,25793.4,25591,28552,16610,35.6037,-10.695
5.100-06,3,25793.4,25591,28552,15945,38.1819,-10.695
5.100-06,4,25793.4,25591,28552,16237,37.0498,-10.695
5.100-06,5,25793.4,25591,28552,16610,35.6037,-10.695
5.100-06,6,25793.4,25591,28552,16237,37.0498,-10.695
5.100-06,7,25793.4,25591,28552,16610,35.6037,-10.695
5.100-06,8,25793.4,25591,28552,16610,35.6037,-10.695
5.100-06,9,25793.4,25591,28552,16610,35.6037,-10.695
5.100-07,0,23657.9,23410,31406,17611,25.5597,-32.7507
5.100-07,1,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-07,2,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-07,3,23657.9,23410,31406,17708,25.1497,-32.7507
5.100-07,4,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-07,5,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-07,6,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-07,7,23657.9,23410,31406,17611,25.5597,-32.7507
5.100-07,8,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-07,9,23657.9,23410,31406,18503,21.7893,-32.7507
5.100-08,0,24445.6,24216,70289,42264,-72.8899,-187.532
5.100-08,1,24445.6,24216,70289,41314,-69.0037,-187.532
5.100-08,2,24445.6,24216,70289,41314,-69.0037,-187.532
5.100-08,3,24445.6,24216,70289,41314,-69.0037,-187.532
5.100-08,4,24445.6,24216,70289,41314,-69.0037,-187.532
5.100-08,5,24445.6,24216,70289,42264,-72.8899,-187.532
5.100-08,6,24445.6,24216,70289,42264,-72.8899,-187.532
5.100-08,7,24445.6,24216,70289,41643,-70.3496,-187.532
5.100-08,8,24445.6,24216,70289,41314,-69.0037,-187.532
5.100-08,9,24445.6,24216,70289,41188,-68.4883,-187.532
5.100-09,0,24635.7,24411,80657,47150,-91.389,-227.399
5.100-09,1,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,2,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,3,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,4,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,5,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,6,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,7,24635.7,24411,80657,46340,-88.1011,-227.399
5.100-09,8,24635.7,24411,80657,47886,-94.3765,-227.399
5.100-09,9,24635.7,24411,80657,48107,-95.2736,-227.399
5.100-10,0,42939.5,42757,75970,44297,-3.16137,-76.9233
5.100-10,1,42939.5,42757,75970,44882,-4.52375,-76.9233
5.100-10,2,42939.5,42757,75970,44297,-3.16137,-76.9233
5.100-10,3,42939.5,42757,75970,44882,-4.52375,-76.9233
5.100-10,4,42939.5,42757,75970,44882,-4.52375,-76.9233
5.100-10,5,42939.5,42757,75970,44297,-3.16137,-76.9233
5.100-10,6,42939.5,42757,75970,44882,-4.52375,-76.9233
5.100-10,7,42939.5,42757,75970,44297,-3.16137,-76.9233
5.100-10,8,42939.5,42757,75970,44297,-3.16137,-76.9233
5.100-10,9,42939.5,42757,75970,44882,-4.52375,-76.9233
5.100-11,0,42706.7,42545,77431,45113,-5.63447,-81.3088
5.100-11,1,42706.7,42545,77431,44595,-4.42155,-81.3088
5.100-11,2,42706.7,42545,77431,45113,-5.63447,-81.3088
5.100-11,3,42706.7,42545,77431,44478,-4.14759,-81.3088
5.100-11,4,42706.7,42545,77431,44595,-4.42155,-81.3088
5.100-11,5,42706.7,42545,77431,45113,-5.63447,-81.3088
5.100-11,6,42706.7,42545,77431,44478,-4.14759,-81.3088
5.100-11,7,42706.7,42545,77431,43731,-2.39845,-81.3088
5.100-11,8,42706.7,42545,77431,45113,-5.63447,-81.3088
5.100-11,9,42706.7,42545,77431,43731,-2.39845,-81.3088
5.100-12,0,42165.2,41968,180886,104588,-148.043,-328.994
5.100-12,1,42165.2,41968,180886,105198,-149.49,-328.994
5.100-12,2,42165.2,41968,180886,104219,-147.168,-328.994
5.100-12,3,42165.2,41968,180886,106272,-152.037,-328.994
5.100-12,4,42165.2,41968,180886,104114,-146.919,-328.994
5.100-12,5,42165.2,41968,180886,105198,-149.49,-328.994
5.100-12,6,42165.2,41968,180886,104114,-146.919,-328.994
5.100-12,7,42165.2,41968,180886,105198,-149.49,-328.994
5.100-12,8,42165.2,41968,180886,104460,-147.74,-328.994
5.100-12,9,42165.2,41968,180886,104114,-146.919,-328.994
5.100-13,0,45347.1,45090,179188,107104,-136.187,-295.148
5.100-13,1,45347.1,45090,179188,107104,-136.187,-295.148
5.100-13,2,45347.1,45090,179188,107104,-136.187,-295.148
5.100-13,3,45347.1,45090,179188,106073,-133.914,-295.148
5.100-13,4,45347.1,45090,179188,107104,-136.187,-295.148
5.100-13,5,45347.1,45090,179188,106073,-133.914,-295.148
5.100-13,6,45347.1,45090,179188,106073,-133.914,-295.148
5.100-13,7,45347.1,45090,179188,107104,-136.187,-295.148
5.100-13,8,45347.1,45090,179188,106073,-133.914,-295.148
5.100-13,9,45347.1,45090,179188,107104,-136.187,-295.148
5.100-14,0,42434.1,42218,191682,113374,-167.176,-351.717
5.100-14,1,42434.1,42218,191682,113134,-166.611,-351.717
5.100-14,2,42434.1,42218,191682,113374,-167.176,-351.717
5.100-14,3,42434.1,42218,191682,113134,-166.611,-351.717
5.100-14,4,42434.1,42218,191682,113374,-167.176,-351.717
5.100-14,5,42434.1,42218,191682,113134,-166.611,-351.717
5.100-14,6,42434.1,42218,191682,113134,-166.611,-351.717
5.100-14,7,42434.1,42218,191682,112641,-165.449,-351.717
5.100-14,8,42434.1,42218,191682,113374,-167.176,-351.717
5.100-14,9,42434.1,42218,191682,112641,-165.449,-351.717
5.100-15,0,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,1,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,2,43082.2,42927,191142,113728,-163.979,-343.668
5.100-15,3,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,4,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,5,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,6,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,7,43082.2,42927,191142,112019,-160.012,-343.668
5.100-15,8,43082.2,42927,191142,114685,-166.2,-343.668
5.100-15,9,43082.2,42927,191142,113607,-163.698,-343.668
5.100-16,0,42190.6,42009,384385,226943,-437.899,-811.068
5.100-16,1,42190.6,42009,384385,226943,-437.899,-811.068
5.100-16,2,42190.6,42009,384385,226451,-436.733,-811.068
5.100-16,3,42190.6,42009,384385,226943,-437.899,-811.068
5.100-16,4,42190.6,42009,384385,226943,-437.899,-811.068
5.100-16,5,42190.6,42009,384385,227731,-439.767,-811.068
5.100-16,6,42190.6,42009,384385,227731,-439.767,-811.068
5.100-16,7,42190.6,42009,384385,226943,-437.899,-811.068
5.100-16,8,42190.6,42009,384385,227118,-438.314,-811.068
5.100-16,9,42190.6,42009,384385,226943,-437.899,-811.068
5.100-17,0,45265.5,45020,371030,218949,-383.7,-719.676
5.100-17,1,45265.5,45020,371030,218125,-381.879,-719.676
5.100-17,2,45265.5,45020,371030,220369,-386.837,-719.676
5.100-17,3,45265.5,45020,371030,219810,-385.602,-719.676
5.100-17,4,45265.5,45020,371030,218464,-382.628,-719.676
5.100-17,5,45265.5,45020,371030,217135,-379.692,-719.676
5.100-17,6,45265.5,45020,371030,217135,-379.692,-719.676
5.100-17,7,45265.5,45020,371030,221174,-388.615,-719.676
5.100-17,8,45265.5,45020,371030,221174,-388.615,-719.676
5.100-17,9,45265.5,45020,371030,220369,-386.837,-719.676
5.100-18,0,43567.5,43441,370446,220767,-406.724,-750.281
5.100-18,1,43567.5,43441,370446,221631,-408.707,-750.281
5.100-18,2,43567.5,43441,370446,222410,-410.495,-750.281
5.100-18,3,43567.5,43441,370446,218806,-402.223,-750.281
5.100-18,4,43567.5,43441,370446,222410,-410.495,-750.281
5.100-18,5,43567.5,43441,370446,221631,-408.707,-750.281
5.100-18,6,43567.5,43441,370446,221531,-408.478,-750.281
5.100-18,7,43567.5,43441,370446,221194,-407.704,-750.281
5.100-18,8,43567.5,43441,370446,222410,-410.495,-750.281
5.100-18,9,43567.5,43441,370446,221631,-408.707,-750.281
5.100-19,0,44796.6,44554,361953,214715,-379.311,-707.992
5.100-19,1,44796.6,44554,361953,214715,-379.311,-707.992
5.100-19,2,44796.6,44554,361953,214715,-379.311,-707.992
5.100-19,3,44796.6,44554,361953,214668,-379.206,-707.992
5.100-19,4,44796.6,44554,361953,214715,-379.311,-707.992
5.100-19,5,44796.6,44554,361953,214715,-379.311,-707.992
5.100-19,6,44796.6,44554,361953,214668,-379.206,-707.992
5.100-19,7,44796.6,44554,361953,214668,-379.206,-707.992
5.100-19,8,44796.6,44554,361953,214114,-377.969,-707.992
5.100-19,9,44796.6,44554,361953,214715,-379.311,-707.992
5.100-00,AVG,24585.9,24381,8651,4450,81.9002,64.8132
5.100-01,AVG,24538.2,24274,7684,3449.6,85.9419,68.6856
5.100-02,AVG,23895.8,23551,8424,4283,82.0764,64.747
5.100-03,AVG,23724.1,23534,5501,2937,87.6202,76.8126
5.100-04,AVG,24223,23991,33006,19032,21.4301,-36.2588
5.100-05,AVG,24884.2,24613,28788,16982.4,31.7544,-15.6877
5.100-06,AVG,25793.4,25591,28552,16468.9,36.1507,-10.695
5.100-07,AVG,23657.9,23410,31406,18245.1,22.8794,-32.7507
5.100-08,AVG,24445.6,24216,70289,41619.3,-70.2526,-187.532
5.100-09,AVG,24635.7,24411,80657,47679.9,-93.5399,-227.399
5.100-10,AVG,42939.5,42757,75970,44589.5,-3.84256,-76.9233
5.100-11,AVG,42706.7,42545,77431,44606,-4.44731,-81.3088
5.100-12,AVG,42165.2,41968,180886,104748,-148.422,-328.994
5.100-13,AVG,45347.1,45090,179188,106692,-135.278,-295.148
5.100-14,AVG,42434.1,42218,191682,113131,-166.605,-351.717
5.100-15,AVG,43082.2,42927,191142,114215,-165.109,-343.668
5.100-16,AVG,42190.6,42009,384385,227069,-438.198,-811.068
5.100-17,AVG,45265.5,45020,371030,219270,-384.41,-719.676
5.100-18,AVG,43567.5,43441,370446,221442,-408.274,-750.281
5.100-19,AVG,44796.6,44554,361953,214641,-379.145,-707.992
GLOBAL_AVG,NA,0,0,0,0,-97.3884,-235.102
