instance,N,M,our_value,known_optimum,percent_diff,feasible_hits
mmkp_a_07.txt,100,10,24404.00,24585,-0.7362,15798142
mmkp_a_08.txt,150,10,36622.00,36856,-0.6349,15816915
mmkp_a_09.txt,200,10,48803.00,49147,-0.6999,15818748
mmkp_a_10.txt,250,10,61089.00,61435,-0.5632,15818947
mmkp_a_11.txt,300,10,73461.00,73749,-0.3905,15817850
mmkp_a_12.txt,350,10,85713.00,86067,-0.4113,15816639
mmkp_a_13.txt,400,10,98024.00,98388,-0.3700,15817308
mmkp_b_01.txt,50,10,10577.00,10714,-1.2787,15036760
mmkp_b_02.txt,50,10,13511.00,13594,-0.6106,15848401
mmkp_b_03.txt,60,10,10788.00,10940,-1.3894,15079113
mmkp_b_04.txt,70,10,14302.00,14432,-0.9008,15054197
mmkp_b_05.txt,75,10,16850.00,17037,-1.0976,15033968
mmkp_b_06.txt,75,10,16620.00,16804,-1.0950,15033138
mmkp_b_07.txt,80,10,16236.00,16410,-1.0603,15039921
mmkp_b_08.txt,80,10,17307.00,17486,-1.0237,15036537
mmkp_b_09.txt,80,10,17537.00,17746,-1.1777,15034258
mmkp_b_10.txt,90,10,19096.00,19287,-0.9903,15036199
mmkp_b_11.txt,90,10,19218.00,19414,-1.0096,15035044
mmkp_b_12.txt,100,10,21518.00,21719,-0.9255,15033672
mmkp_b_13.txt,100,30,21162.00,21230,-0.3203,23293113
mmkp_b_14.txt,150,30,32019.00,32235,-0.6701,23216737
mmkp_b_15.txt,180,30,38161.00,38329,-0.4383,23253105
mmkp_b_16.txt,200,30,42369.00,42617,-0.5819,23197958
mmkp_b_17.txt,250,30,52805.00,53139,-0.6285,23286106
mmkp_b_18.txt,280,20,59383.00,59792,-0.6840,21143057
mmkp_b_19.txt,300,20,63583.00,64013,-0.6717,21231466
mmkp_b_20.txt,350,20,74671.00,75032,-0.4811,21108106
mmkp_c_21.txt,100,10,44020.00,44212,-0.4343,15033269
mmkp_c_22.txt,100,20,41570.00,41104,1.1337,15807740
mmkp_c_23.txt,100,30,42056.00,41630,1.0233,16876752
mmkp_c_24.txt,100,40,40954.00,40914,0.0978,20044845
mmkp_c_25.txt,100,10,43919.00,44126,-0.4691,15756615
mmkp_c_26.txt,100,20,44355.00,44440,-0.1913,15631960
mmkp_c_27.txt,200,10,87254.00,87564,-0.3540,15318172
mmkp_c_28.txt,300,10,134292.00,134568,-0.2051,15028513
mmkp_c_29.txt,400,10,178716.00,179134,-0.2333,15034838
mmkp_c_30.txt,500,10,213664.00,214130,-0.2176,15034133
mmkp_d_1.txt,100,10,25472.00,25647,-0.6823,15034000
mmkp_d_2.txt,100,10,29444.00,29554,-0.3722,15031159
mmkp_d_3.txt,100,10,28916.00,29148,-0.7959,15027471
mmkp_d_4.txt,100,10,29924.00,30147,-0.7397,15032345
mmkp_d_5.txt,100,10,32548.00,32680,-0.4039,15027396
mmkp_d_6.txt,100,10,32956.00,33215,-0.7798,15027022
mmkp_d_7.txt,100,10,32072.00,32172,-0.3108,15028170
mmkp_d_8.txt,100,10,29002.00,29202,-0.6849,15030046
mmkp_d_9.txt,100,10,30870.00,31219,-1.1179,15028851
mmkp_d_10.txt,100,10,26940.00,27257,-1.1630,15027265
mmkp_d_11.txt,100,10,28907.00,29233,-1.1152,15028508
mmkp_d_12.txt,100,10,29945.00,30244,-0.9886,15025576
mmkp_d_13.txt,100,10,30405.00,30833,-1.3881,15041394
mmkp_d_14.txt,100,10,40335.00,40773,-1.0742,15033908
mmkp_d_15.txt,100,10,25106.00,25335,-0.9039,15038500
mmkp_d_16.txt,100,10,31130.00,31337,-0.6606,15036289
mmkp_d_17.txt,250,10,71324.00,71606,-0.3938,15028362
mmkp_d_18.txt,250,10,72570.00,72879,-0.4240,15028329
mmkp_d_19.txt,250,10,68814.00,69161,-0.5017,15028760
mmkp_d_20.txt,250,10,60069.00,60357,-0.4772,15029381
mmkp_d_21.txt,250,10,77645.00,78084,-0.5622,15026540
mmkp_d_22.txt,250,10,81495.00,81851,-0.4349,15026881
mmkp_d_23.txt,250,10,92636.00,93092,-0.4898,15025476
mmkp_d_24.txt,250,10,76395.00,76842,-0.5817,15027372
mmkp_d_25.txt,250,10,67525.00,68207,-0.9999,15029626
mmkp_d_26.txt,250,10,72831.00,73149,-0.4347,15028096
mmkp_d_27.txt,250,10,73432.00,74419,-1.3263,15028856
mmkp_d_28.txt,250,10,50487.00,50730,-0.4790,15031203
mmkp_d_29.txt,250,10,76507.00,77166,-0.8540,15032355
mmkp_d_30.txt,250,10,66710.00,67197,-0.7247,15032676
mmkp_d_31.txt,250,10,91430.00,92055,-0.6789,15033322
mmkp_d_32.txt,250,10,65499.00,65948,-0.6808,15034427
mmkp_d_33.txt,500,10,150312.00,150927,-0.4075,15025483
mmkp_d_34.txt,500,10,179989.00,180749,-0.4205,15023312
mmkp_d_35.txt,500,10,125319.00,125881,-0.4465,15027754
mmkp_d_36.txt,500,10,150220.00,150819,-0.3972,15025276
mmkp_d_37.txt,500,10,174702.00,176280,-0.8952,15022542
mmkp_d_38.txt,500,10,145597.00,146211,-0.4199,15027158
mmkp_d_39.txt,500,10,137981.00,138766,-0.5657,15026911
mmkp_d_40.txt,500,10,130502.00,131258,-0.5760,15025626
mmkp_d_41.txt,500,10,135477.00,136427,-0.6963,15026597
mmkp_d_42.txt,500,10,158038.00,158952,-0.5750,15024571
mmkp_d_43.txt,500,10,138124.00,139031,-0.6524,15025277
mmkp_d_44.txt,500,10,135193.00,136437,-0.9118,15025222
mmkp_d_45.txt,500,10,91428.00,91968,-0.5872,15033172
